"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 13 17:55:53 GMT 2022","Wed Jul 13 17:55:53 GMT 2022","1","","test_lables","","","","test_decorator_labels",""
"broken","Wed Jul 13 17:55:55 GMT 2022","Wed Jul 13 17:55:56 GMT 2022","689","tests","test_check_issue_selene","","","","test_check_issue",""
"broken","Wed Jul 13 17:55:55 GMT 2022","Wed Jul 13 17:55:55 GMT 2022","698","tests","test_check_issue","","","","test_check_issue_decorator_steps",""
"broken","Wed Jul 13 17:55:53 GMT 2022","Wed Jul 13 17:55:55 GMT 2022","1664","tests","test_check_issue","","","","test_check_issue_dynamic_steps",""
"broken","Wed Jul 13 17:55:53 GMT 2022","Wed Jul 13 17:55:53 GMT 2022","0","tests","test_check_issue","","","","test_attachments",""
"passed","Wed Jul 13 17:55:53 GMT 2022","Wed Jul 13 17:55:53 GMT 2022","1","","test_lables","","","","test_no_labels",""
"broken","Wed Jul 13 17:55:53 GMT 2022","Wed Jul 13 17:55:53 GMT 2022","1","","test_attachments","","","","test_attachments",""
"passed","Wed Jul 13 17:55:53 GMT 2022","Wed Jul 13 17:55:53 GMT 2022","1","","test_lables","","","","test_dynamic_labels",""
